State / Union Territory,Language 1,Language 2,Language 3,Language 4,Language 5,Population
Andaman & Nicobar Islands,Bengali,Hindi,Tamil,Telugu,Malayalam,380581
Andhra Pradesh,Telugu,Urdu,Hindi,Tamil,Marathi,49577103
Arunachal Pradesh,Nishi,Adi,Bengali,Nepali,Hindi,1383727
Assam,Assamese,Bengali,Hindi,Bodo,Nepali,31205576
Bihar,Hindi,Maithili,Urdu,Bengali,Santali,104099452
Chandigarh,Hindi,Punjabi,Urdu,Nepali,Bengali,1055450
Chhattisgarh,Hindi,Oriya,Bengali,Telugu,Marathi,25545198
Dadra & Nagar Haveli,Hindi,Gujarati,Marathi,Konkani,Odia,343709
Daman & Diu,Gujarati,Hindi,Marathi,Bengali,Odia,243247
Delhi,Hindi,Punjabi,Urdu,Bengali,Maithili,16787941
Goa,Konkani,Marathi,Hindi,Kannada,Urdu,1458545
Gujarat,Gujarati,Hindi,Sindhi,Marathi,Urdu,60439692
Haryana,Hindi,Punjabi,Urdu,Bengali,Maithili,25351462
Himachal Pradesh,Hindi,Punjabi,Nepali,Kashmiri,Dogri,6864602
Jammu and Kashmir,Kashmiri,Hindi,Dogri,Punjabi,NaN,12267032
Jharkhand,Hindi,Sabthali,Bengali,Urdu,Odia,32988134
Karnataka,Kannada,Urdu,Telugu,Tamil,Marathi,61095297
Kerala,Malayalam,Tamil,Tulu,Kannada,Konkani,33406061
Lakshadweep,Malayalam,Tamil,Hindi,Bengali,Telugu,64473
Madhya Pradesh,Hindi,Marathi,Urdu,Sindhi,Gujarati,72626809
Maharashtra,Marathi,Hindi,Urdu,Gujarati,Telugu,112374333
Manipur,Manipuri,Nepali,Hindi,Bengali,NaN,2570390
Meghalaya,Kashi,Garo,Bengali,Assamese,English,2966889
Mizoram,Mizo,English,Hindi,Manipuri,Chakma,1097206
Nagaland,Naga Languages,English,Hindi,Assamese,Manipuri,1978502
Odisha,Oriya,Bengali,Telugu,Hindi,Santali,41974218
Puducherry,Tamil,Telugu,Malayalam,French,English,1247953
Punjab,Punjabi,Hindi,Urdu,Bengali,English,27743338
Rajasthan,Hindi,Punjabi,Urdu,Sindhi,Gujarati,68548437
Sikkim,Nepali,Hindi,Bengali,Urdu,Punjabi,610577
Tamil Nadu,Tamil,Telugu,Kannada,Urdu,Malayalam,72147030
Telangana,Telugu,Urdu,Marathi,Kannada,Hindi,35003674
Tripura,Bengali,Kokborok,Assamese,English,Manipuri,3673917
Uttar Pradesh,Hindi ,Urdu,Punjabi,Bengali,NaN,199812341
Uttarakhand,Hindi ,Urdu,Punjabi,Bengali,Nepali,10086292
West Bengal,Bengali,Hindi,Santali,Urdu,Nepali,91276115